cr_id,trial,producer_model,evaluator_model,run_id,available_modules,known_interfaces,ours_output_file,baseline_output_file,evaluation_output_file,winner,why,ours_total_score,baseline_total_score,pure_fr_ours,pure_fr_baseline,fr_dp_bridge_ours,fr_dp_bridge_baseline,dp_im_bridge_ours,dp_im_bridge_baseline,pure_im_ours,pure_im_baseline,fr_im_bridge_ours,fr_im_bridge_baseline
CR-NGHE-001,2,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial2_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial2_20260224_093405.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial2_20260224_093442.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=16",21,16,5,2,5,3,2,5,4,4,5,2
CR-NGHE-001,2,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial2_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial2_20260224_093405.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial2_20260224_093442.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=21",23,21,4,3,5,4,5,4,5,5,4,5
CR-NGHE-001,3,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial3_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial3_20260223_012518.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial3_20260223_012529.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=19",23,19,5,3,4,5,4,3,5,4,5,4
CR-NGHE-001,3,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial3_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial3_20260223_012518.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial3_20260223_012529.json,,OURS,"Score totals (excluding N/A): ours=19, baseline=17",19,17,4,3,3,4,4,3,4,3,4,4
CR-NGHE-001,3,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial3_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial3_20260224_093605.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial3_20260224_093623.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=17",21,17,5,3,4,3,3,5,4,3,5,3
CR-NGHE-001,3,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial3_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial3_20260224_093605.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial3_20260224_093623.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=16",20,16,4,2,4,3,4,3,4,5,4,3
CR-NGHE-001,3,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial3_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial3_20260224_093748.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial3_20260224_093828.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=13",24,13,5,3,5,4,5,2,4,2,5,2
CR-NGHE-001,3,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial3_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial3_20260224_093748.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial3_20260224_093828.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=20",25,20,5,4,5,5,5,4,5,4,5,3
CR-NGHE-001,4,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial4_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial4_20260223_012546.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial4_20260223_012555.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=20",22,20,5,3,4,5,4,3,5,4,4,5
CR-NGHE-001,4,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial4_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial4_20260223_012546.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial4_20260223_012555.json,,OURS,"Score totals (excluding N/A): ours=19, baseline=17",19,17,4,3,3,4,4,3,4,3,4,4
CR-NGHE-001,4,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial4_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial4_20260224_093942.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial4_20260224_094003.json,,BASELINE,"Score totals (excluding N/A): ours=15, baseline=19",15,19,2,4,2,4,5,4,3,3,3,4
CR-NGHE-001,4,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial4_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial4_20260224_093942.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial4_20260224_094003.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=14",20,14,4,2,4,3,4,3,4,3,4,3
CR-NGHE-001,4,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial4_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial4_20260224_094125.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial4_20260224_094205.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=15",24,15,5,3,5,4,5,2,4,3,5,3
CR-NGHE-001,4,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial4_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial4_20260224_094125.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial4_20260224_094205.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=17",23,17,5,3,5,4,5,4,4,3,4,3
CR-NGHE-001,5,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial5_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial5_20260223_012613.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial5_20260223_012622.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=19",23,19,5,3,4,5,4,3,5,4,5,4
CR-NGHE-001,5,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial5_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial5_20260223_012613.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial5_20260223_012622.json,,OURS,"Score totals (excluding N/A): ours=18, baseline=17",18,17,4,3,3,4,4,3,4,3,3,4
CR-NGHE-001,5,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial5_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial5_20260224_094326.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial5_20260224_094345.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=16",24,16,5,2,5,3,5,3,4,4,5,4
CR-NGHE-001,5,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial5_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial5_20260224_094326.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial5_20260224_094345.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=14",20,14,4,2,4,3,4,3,4,3,4,3
CR-NGHE-001,5,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial5_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial5_20260224_094505.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial5_20260224_094537.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=11",24,11,5,2,5,2,5,3,4,2,5,2
CR-NGHE-001,5,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial5_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial5_20260224_094505.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial5_20260224_094537.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=17",23,17,5,4,4,3,5,4,4,3,5,3
CR-NGHE-001,6,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial6_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial6_20260223_012639.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial6_20260223_012649.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=20",22,20,5,3,4,5,4,3,5,4,4,5
CR-NGHE-001,6,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial6_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial6_20260223_012639.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial6_20260223_012649.json,,OURS,"Score totals (excluding N/A): ours=18, baseline=17",18,17,4,3,3,4,4,3,4,3,3,4
CR-NGHE-001,6,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial6_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial6_20260224_094655.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial6_20260224_094713.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=13",23,13,5,2,5,2,5,3,3,3,5,3
CR-NGHE-001,6,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial6_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial6_20260224_094655.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial6_20260224_094713.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=12",20,12,4,2,4,2,4,3,4,3,4,2
CR-NGHE-001,6,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial6_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial6_20260224_094835.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial6_20260224_094913.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=12",24,12,5,2,5,4,5,2,4,2,5,2
CR-NGHE-001,6,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial6_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial6_20260224_094835.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial6_20260224_094913.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=17",25,17,5,3,5,4,5,3,5,4,5,3
CR-NGHE-001,7,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial7_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial7_20260223_012709.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial7_20260223_012718.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=20",22,20,5,3,4,5,4,3,5,4,4,5
CR-NGHE-001,7,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial7_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial7_20260223_012709.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial7_20260223_012718.json,,OURS,"Score totals (excluding N/A): ours=19, baseline=17",19,17,4,3,3,4,4,3,4,3,4,4
CR-NGHE-001,7,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial7_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial7_20260224_095029.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial7_20260224_095056.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=17",21,17,5,2,4,3,4,5,3,3,5,4
CR-NGHE-001,7,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial7_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial7_20260224_095029.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial7_20260224_095056.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=16",20,16,4,2,4,3,4,3,5,4,3,4
CR-NGHE-001,7,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial7_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial7_20260224_095211.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial7_20260224_095250.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=18",21,18,5,2,3,5,5,3,4,3,4,5
CR-NGHE-001,7,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial7_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial7_20260224_095211.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial7_20260224_095250.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=22",24,22,5,3,4,5,5,4,5,5,5,5
CR-NGHE-001,8,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial8_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial8_20260223_012734.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial8_20260223_012744.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=19",23,19,5,3,4,5,4,3,5,4,5,4
CR-NGHE-001,8,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial8_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial8_20260223_012734.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial8_20260223_012744.json,,OURS,"Score totals (excluding N/A): ours=18, baseline=17",18,17,4,3,3,4,4,3,4,3,3,4
CR-NGHE-001,8,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial8_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial8_20260224_095406.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial8_20260224_095426.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=14",22,14,5,2,4,3,5,3,3,3,5,3
CR-NGHE-001,8,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial8_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial8_20260224_095406.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial8_20260224_095426.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=13",20,13,4,2,4,2,4,3,4,4,4,2
CR-NGHE-001,8,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial8_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial8_20260224_095602.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial8_20260224_095634.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=11",25,11,5,2,5,3,5,2,5,2,5,2
CR-NGHE-001,8,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial8_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial8_20260224_095602.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial8_20260224_095634.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=16",24,16,4,2,5,3,5,4,5,4,5,3
CR-NGHE-001,9,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial9_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial9_20260223_012801.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial9_20260223_012810.json,,OURS,"Score totals (excluding N/A): ours=23, baseline=19",23,19,5,3,4,5,4,3,5,4,5,4
CR-NGHE-001,9,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial9_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial9_20260223_012801.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial9_20260223_012810.json,,OURS,"Score totals (excluding N/A): ours=19, baseline=17",19,17,4,3,3,4,4,3,4,3,4,4
